ID,Title,Author,Fandom,Url,Kudos,Average_Sentiment
102,Heartbeat Song,Phantoms_Echo,名探偵コナン | Detective Conan | Case Closed,https://archiveofourown.org/works/10823580,"3,882",0.7311
103,too many questions in my head,blenderfullasarcasm,名探偵コナン | Detective Conan | Case Closed,https://archiveofourown.org/works/15340590,"3,810",0.6249
104,The Trouble with Soulmarks,SeleneMoon,名探偵コナン | Detective Conan | Case Closed,https://archiveofourown.org/works/5159171,"3,482",0.8084
105,"It's Raining Men, Hallelujah",Asuka Kureru (Askerian),名探偵コナン | Detective Conan | Case Closed,https://archiveofourown.org/works/267696,"3,409",0.4497
106,Twist of Fate,Phantoms_Echo,名探偵コナン | Detective Conan | Case Closed,https://archiveofourown.org/works/23584765,"3,407",-0.5106
107,A What If,GreyTail,Devil May Cry (Gameverse),https://archiveofourown.org/works/22972216,"4,396",0.8934
108,Mama Mia!,Lexsssu,Devil May Cry (Gameverse),https://archiveofourown.org/works/47216611,"3,802",0.0
109,How NOT to Summon a Fell Dragon,Lexsssu,Devil May Cry (Gameverse),https://archiveofourown.org/works/29532975,"3,677",0.7964
110,Rebirth,TheWritingSquid,Devil May Cry (Gameverse),https://archiveofourown.org/works/18487135,"3,363",-0.0
111,Devil May Have Fun,arlene28,Devil May Cry (Gameverse),https://archiveofourown.org/works/4056241,"3,188",-0.3919
112,in what remains,frozen_sky,Devil May Cry (Gameverse),https://archiveofourown.org/works/19761211,"2,902",-0.296
113,Marriage Law Rejection Letters,sakura_lisel,Devil May Cry (Gameverse),https://archiveofourown.org/works/15656337,"2,883",-0.7269
114,Ebony and Ivory,SpiritChilde,Devil May Cry (Gameverse),https://archiveofourown.org/works/18136193,"2,190",-0.431
115,The Devil's Pact,Synchron,Devil May Cry (Gameverse),https://archiveofourown.org/works/20202019,"2,020",0.8221
116,Return of a Legend,lavender_demon (Lavender_Hearts),Devil May Cry (Gameverse),https://archiveofourown.org/works/18229730,"1,981",-0.34
117,Pillow Talk,Embarassedbutkinky,Dragon Ball,https://archiveofourown.org/works/17475740,"8,860",-0.6808
118,Long Live The King,RC_McLachlan,Dragon Ball,https://archiveofourown.org/works/7041868,"7,144",-0.6461
119,Genius Billionaire,TheSovereigntyofReality,Dragon Ball,https://archiveofourown.org/works/15858081,"4,268",-0.5574
120,100 Zeni,RC_McLachlan,Dragon Ball,https://archiveofourown.org/works/4729772,"4,075",-0.6113
121,One Day at a Time,jarynw02,Dragon Ball,https://archiveofourown.org/works/23151028,"3,482",0.0
122,Pillow Talk,RC_McLachlan,Dragon Ball,https://archiveofourown.org/works/13656258,"3,456",0.0
123,The Three Gods,TheSovereigntyofReality,Dragon Ball,https://archiveofourown.org/works/14144577,"3,144",-0.743
124,"Something Borrowed, Something Black and Blue",RC_McLachlan,Dragon Ball,https://archiveofourown.org/works/4578873,"2,971",0.34
125,Marriage Law Rejection Letters,sakura_lisel,Dragon Ball,https://archiveofourown.org/works/15656337,"2,883",-0.7269
126,Oxidation,RC_McLachlan,Dragon Ball,https://archiveofourown.org/works/5184152,"2,865",-0.4939
